epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52524,3.42453,4.98179,1.93494,0,0,0,0,2.48546,4.86923,1.50843,2.5e-05,2.5e-05,2.5e-05
2,17.6273,2.78671,4.57904,1.71305,0,0,0,0,2.38347,4.79994,1.48123,6.18813e-05,6.18813e-05,6.18813e-05
3,25.8552,2.36926,4.42971,1.4064,0,0,0,0,2.21366,4.68104,1.37584,9.802e-05,9.802e-05,9.802e-05
4,33.8275,2.00913,4.14615,1.33314,0.00129,0.11111,0.05712,0.01707,2.11046,4.56231,1.32687,0.000133416,0.000133416,0.000133416
5,41.7275,2.18023,3.75597,1.49981,0.00133,0.11111,0.0901,0.02859,1.86846,4.41263,1.17408,0.00016807,0.00016807,0.00016807
6,49.4735,1.88459,3.53471,1.21647,0.00215,0.16667,0.10274,0.0337,1.61134,4.30013,1.126,0.000201981,0.000201981,0.000201981
7,57.28,1.91757,3.58401,1.22175,0.00456,0.33333,0.12843,0.04108,1.45137,4.10245,1.00027,0.00023515,0.00023515,0.00023515
8,64.9947,1.58324,3.06051,1.15645,0.00503,0.36111,0.13539,0.07946,1.43575,3.98668,1.00305,0.000267576,0.000267576,0.000267576
9,72.915,1.63704,2.93031,1.10194,0.0052,0.36111,0.15963,0.10065,1.35118,3.87626,1.00105,0.00029926,0.00029926,0.00029926
10,80.9212,1.52372,2.77859,1.08079,0.00519,0.36111,0.15676,0.09848,1.33841,3.82118,0.99512,0.000330201,0.000330201,0.000330201
11,88.7433,1.53607,2.76682,1.09662,0.00789,0.52778,0.22302,0.10038,1.31881,3.6623,1.00037,0.0003604,0.0003604,0.0003604
12,96.6088,1.3312,2.39635,1.00352,0.0084,0.58333,0.24234,0.1235,1.29614,3.59342,1.00869,0.000389856,0.000389856,0.000389856
13,104.647,1.4008,2.27696,1.0132,0.0101,0.72222,0.35214,0.22604,1.3684,3.46202,0.99142,0.00041857,0.00041857,0.00041857
14,112.565,1.32709,2.21116,1.00915,0.01079,0.77778,0.37083,0.21258,1.37158,3.40437,0.98706,0.000446541,0.000446541,0.000446541
15,120.594,1.22952,2.22551,0.99944,0.01191,0.83333,0.47373,0.26176,1.36814,3.27126,0.97362,0.00047377,0.00047377,0.00047377
16,129.333,1.20108,2.11998,0.92697,0.01235,0.86111,0.48323,0.29814,1.32566,3.1976,0.97497,0.000500256,0.000500256,0.000500256
17,137.917,1.23205,2.07218,1.01355,0.01255,0.86111,0.46295,0.26545,1.41967,3.18054,0.99637,0.000526,0.000526,0.000526
18,146.431,1.22781,1.88862,0.99222,0.40663,0.6062,0.49322,0.3224,1.24481,3.13382,0.96648,0.000551001,0.000551001,0.000551001
19,155.086,1.27444,2.03674,1.02643,0.01309,0.88889,0.50282,0.35554,1.22828,3.11854,0.94851,0.00057526,0.00057526,0.00057526
20,163.634,1.32342,1.74146,1.00476,0.01291,0.86111,0.48483,0.34541,1.22037,3.17697,0.94967,0.000598776,0.000598776,0.000598776
21,171.986,1.1501,1.61646,0.94873,0.01162,0.77778,0.45666,0.30299,1.23576,3.28535,0.96801,0.00062155,0.00062155,0.00062155
22,180.163,1.30624,1.95981,1.05382,0.01101,0.72222,0.40352,0.2449,1.26525,3.32799,0.97744,0.000643581,0.000643581,0.000643581
23,187.959,1.20645,1.594,0.9651,0.01077,0.75,0.40557,0.26194,1.26516,3.31403,0.98106,0.00066487,0.00066487,0.00066487
24,195.738,1.06961,1.66893,0.97721,0.87521,0.10815,0.60024,0.35972,1.36892,3.00661,0.95356,0.000685416,0.000685416,0.000685416
25,203.654,1.33301,1.69576,0.97917,0.93432,0.19418,0.70762,0.42998,1.29788,2.83084,0.93497,0.00070522,0.00070522,0.00070522
26,211.339,0.97425,1.72789,0.96419,0.93642,0.13489,0.74486,0.45263,1.2739,2.83641,0.93239,0.000724281,0.000724281,0.000724281
27,219.083,1.14954,1.42996,0.95625,1,0.2287,0.79526,0.50478,1.25219,2.77022,0.94368,0.0007426,0.0007426,0.0007426
28,227.069,1.12143,1.33718,0.92282,1,0.39288,0.78928,0.53537,1.24302,2.58819,0.95888,0.000760176,0.000760176,0.000760176
29,235.441,1.18422,1.41908,0.9718,1,0.39288,0.78928,0.53537,1.24302,2.58819,0.95888,0.00077701,0.00077701,0.00077701
